experiment;function;algorithm;bkpSize;n;t
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.024175ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.035211ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.02288ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.023191ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.022499ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.022946ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.023123ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.022997ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.0232ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.022717ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.022124ms
compare_algorithms;nEqualBkpSize;bruteforce;5;5;0.022204ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050135ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049884ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049015ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.051032ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049044ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049209ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050325ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049957ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.04898ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049765ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049184ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.05071ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050643ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049237ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.051458ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049567ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049047ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049612ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050087ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049663ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050312ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.051251ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049828ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049437ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.048984ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.048002ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050493ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049057ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050173ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049517ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.060247ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.052963ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.071479ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.080393ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050339ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050349ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049669ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049503ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050276ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.051426ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.05331ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.053922ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.055044ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.052717ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.07154ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050724ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.051398ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.050082ms
compare_algorithms;nEqualBkpSize;bruteforce;6;6;0.049613ms
