experiment;function;algorithm;bkpSize;n;t
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;30;30;0.049815ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;31;31;504.961ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;31;31;2.66489ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;31;31;0.052394ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;32;32;686.224ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;32;32;2.8255ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;32;32;0.055461ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;33;33;1078.83ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;33;33;3.1771ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;33;33;0.058925ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;34;34;1470.01ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;34;34;3.31956ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;34;34;0.061604ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;35;35;2290.84ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;35;35;3.59589ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;35;35;0.064874ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;36;36;3116.76ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;36;36;3.86048ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;36;36;0.067821ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;37;37;4849.45ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;37;37;4.25646ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;37;37;0.071455ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;38;38;6680.13ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;38;38;4.46907ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;38;38;0.074805ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;39;39;10206.9ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;39;39;4.75466ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;39;39;0.077884ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;40;40;13741.5ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;40;40;5.09379ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;40;40;0.081449ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;41;41;21330.9ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;41;41;5.46903ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;41;41;0.085903ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;42;42;28909.9ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;42;42;5.81442ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;42;42;0.088991ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;43;43;44650.7ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;43;43;6.19799ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;43;43;0.092562ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;44;44;60550.7ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;44;44;6.57659ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;44;44;0.096618ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;45;45;93153.9ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;45;45;6.98413ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;45;45;0.100765ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;46;46;125602ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;46;46;7.42547ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;46;46;0.104226ms
compare_algorithms;allItemsSize1Value1_nEqualsW;meet_in_the_middle;47;47;193845ms
compare_algorithms;allItemsSize1Value1_nEqualsW;backtracking;47;47;7.90426ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;47;47;0.109246ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;48;48;0.109609ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;49;49;0.113793ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;50;50;0.117813ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;51;51;0.122189ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;52;52;0.126617ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;53;53;0.131387ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;54;54;0.135894ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;55;55;0.140821ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;56;56;0.145405ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;57;57;0.15062ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;58;58;0.155385ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;59;59;0.16059ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;60;60;0.165506ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;61;61;0.170916ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;62;62;0.175875ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;63;63;0.18156ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;64;64;0.186764ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;65;65;0.19281ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;66;66;0.198113ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;67;67;0.20395ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;68;68;0.226445ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;69;69;0.21583ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;70;70;0.221537ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;71;71;0.227632ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;72;72;0.233682ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;73;73;0.240146ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;74;74;0.246398ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;75;75;0.252642ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;76;76;0.259392ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;77;77;0.265707ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;78;78;0.272105ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;79;79;0.278954ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;80;80;0.285783ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;81;81;0.292581ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;82;82;0.299471ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;83;83;0.311356ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;84;84;0.321598ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;85;85;0.332006ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;86;86;0.328483ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;87;87;0.335444ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;88;88;0.342765ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;89;89;0.350311ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;90;90;0.358187ms
